Ingredient,Substitute,Context,Equivalent
all-purpose flour,1 cup soy flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This is high in protein, but has a very strong flavor.  Replace up to 1/4 of any wheat flour with this, then increase the liquid in the recipe and reduce the oven temperature by 25 degrees.) OR
quinoa flour (This is higher in fat than all-purpose flour, so it tends to make baked goods moister.  Replace up to 1/2 of the wheat flour in the recipe with this.",1 cup all-purpose flour
all-purpose flour,0.88 cups rice flour non-waxy,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This is good for those with wheat allergies.  Replace up to 1/4 of any wheat flour with this.  Baked goods made with rice flour tend to be crumbly, so consider substituting a mixture of one part arrowroot or other thickener plus four parts rice flour.  Adding more eggs is another way to reduce crumbliness.   Since rice flour absorbs more moisture than all-purpose flour, you may need to add more liquid to the recipe or substitute only 7/8 C rice flour for each cup of all-purpose flour.",1 cup all-purpose flour
all-purpose flour,1 cup wheat germ,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This makes for a more nutritious product.  Replace up to 1/3 of the flour with this.",1 cup all-purpose flour
all-purpose flour,1 cup amaranth flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This is higher in fat than all-purpose flour.",1 cup all-purpose flour
all-purpose flour,1 cup spelt flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This tends to make baked goods heavier, so consider increasing the baking powder so that the product rises more.   Spelt is tolerated by most people with wheat allergies, and it's great for making pasta and bread.",1 cup all-purpose flour
all-purpose flour,1 cup kamut flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This is tolerated by most people with wheat allergies, and it works well in pasta and bread recipes.  It works best if combined with other flours.",1 cup all-purpose flour
all-purpose flour,1 cup matzo meal,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: A traditional substitution for Jews during Passover.",1 cup all-purpose flour
all-purpose flour,1 cup potato starch,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: Another good substitution for Jews during Passover.",1 cup all-purpose flour
all-purpose flour,1 cup bread flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: This makes for a larger loaf, but it's harder to knead.",1 cup all-purpose flour
all-purpose flour,1 cup whole wheat flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: Replace up to half of the white flour in the recipe with this.  If the whole wheat flour is coarsely ground, substitute 1 1/8 cup whole wheat flour for 1 cup all-purpose flour.",1 cup all-purpose flour
all-purpose flour,1 cup rye flour light,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: Replace up to 40% of the wheat flour in a bread recipe with this and knead gently.  Try increasing the yeast so that the bread rises more.  Rye flour imparts an interesting, slightly sour flavor to breads.  Contains some gluten.",1 cup all-purpose flour
all-purpose flour,1 cup rye flour medium,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: Replace up to one-third of the wheat flour in a bread recipe with this and knead gently.  Try increasing the yeast so that the bread rises more.  Rye flour imparts an interesting, slightly sour flavor to breads.  Contains some gluten.",1 cup all-purpose flour
all-purpose flour,1 cup rye flour dark,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: Replace up to one-fourth of the wheat flour in a bread recipe with this and knead gently.  Try increasing the yeast so that the bread rises more.  Rye flour imparts an interesting, slightly sour flavor to breads.  Contains some gluten.",1 cup all-purpose flour
all-purpose flour,1 cup triticale flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: Replace up to half of the wheat flour in a bread recipe with this, knead gently, and let rise only once.",1 cup all-purpose flour
all-purpose flour,1 cup barley flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: This has a mild flavor.  Replace up to 1/6 of the wheat flour in a bread recipe with this.  Contains some gluten.",1 cup all-purpose flour
all-purpose flour,1 cup rice flour brown,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: Replace up to 1/5 of the wheat flour in a bread recipe with this, and try increasing the yeast so that the bread rises more.  This is a good substitute for those with wheat allergies.",1 cup all-purpose flour
all-purpose flour,1 cup buckwheat flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: This has a more pronounced flavor than wheat bread.  Replace up to 1/5 of the wheat flour in a bread recipe with this.  Contains some gluten.",1 cup all-purpose flour
all-purpose flour,1 cup corn flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: Replace up to 1/5 of the wheat flour in a bread recipe with this, and try increasing the yeast so that the bread rises more.",1 cup all-purpose flour
all-purpose flour,1 cup millet flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: This has a more pronounced flavor than wheat flour, and tends to make breads coarse and dry.  Replace up to 1/5 of the wheat flour in a bread recipe with this.",1 cup all-purpose flour
all-purpose flour,1 cup oat flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: Replace up to 1/4 of the wheat flour in a bread recipe with this, and try increasing the yeast so that the bread rises more.",1 cup all-purpose flour
all-purpose flour,0.88 cups potato flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: Replace up to 1/6 of the wheat flour in a bread recipe with this.  Substitute 5/8 cup potato flour for each cup of all-purpose flour.",1 cup all-purpose flour
all-purpose flour,1 cup soy flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: This is high in protein, but has a very strong flavor.  Replace up to 1/8 of the wheat flour in a bread recipe with this, increase the liquid in recipe, and reduce oven temperature by 25 degrees.  Also consider increasing the yeast so that the bread rises more.",1 cup all-purpose flour
all-purpose flour,1 cup soya flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: Replace up to 1/5 of the wheat flour in a bread recipe with this.",1 cup all-purpose flour
all-purpose flour,1 cup quinoa flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: This is higher in fat, so it tends to make bread moister.  Replace up to 1/4 of the wheat flour in a bread recipe with this.",1 cup all-purpose flour
all-purpose flour,0.88 cups rice flour non-waxy,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: Replace up to 1/5 of any wheat flour with this, and either increase the liquid in recipe or substitute 7/8 cup rice flour for each cup of all-purpose flour.  Also try increasing the yeast so that the bread rises more.",1 cup all-purpose flour
all-purpose flour,1 cup wheat germ,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: This makes bread more nutritious.  Replace up to a third of the wheat flour in a bread recipe with this.",1 cup all-purpose flour
all-purpose flour,1 cup amaranth flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: This is higher in fat than wheat flour.  Replace up to a fourth of the wheat flour in a bread recipe with this.",1 cup all-purpose flour
all-purpose flour,1 cup spelt flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: This tends to make bread heavier.  Try increasing the yeast so that the bread rises more.  Spelt flour is tolerated by most people with wheat allergies.",1 cup all-purpose flour
all-purpose flour,1 cup kamut flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For yeast breads: This is tolerated by most people with wheat allergies.",1 cup all-purpose flour
all-purpose flour,1 cup water chestnut flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For coating fish and meat before frying:",1 cup all-purpose flour
all-purpose flour,1 cup corn starch,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For coating fish and meat before frying:",1 cup all-purpose flour
all-purpose flour,1 cup tapioca starch,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For coating fish and meat before frying:",1 cup all-purpose flour
allspice,1 tablespoon cinnamon ground + 1 tablespoon clove ground + 1 tablespoon nutmeg ground,"The category is: Global Spices. Allspice comes from a single tree, but it tastes like a mixture of cinnamon, cloves, and nutmeg.  You can buy it already ground, but for better flavor and a longer shelf life, buy the berries and grind them yourself. equal parts cinnamon, cloves, and nutmeg, all ground",3 tablespoons allspice
allspice,1 tablespoon clove ground + 1 tablespoon cinnamon ground,"The category is: Global Spices. Allspice comes from a single tree, but it tastes like a mixture of cinnamon, cloves, and nutmeg.  You can buy it already ground, but for better flavor and a longer shelf life, buy the berries and grind them yourself. equal parts cinnamon and cloves, all ground",2 tablespoons allspice
allspice,1 tablespoon nutmeg ground + 1 tablespoon black pepper ground + 1 tablespoon cinnamon ground + 1 tablespoon clove ground,"The category is: Global Spices. Allspice comes from a single tree, but it tastes like a mixture of cinnamon, cloves, and nutmeg.  You can buy it already ground, but for better flavor and a longer shelf life, buy the berries and grind them yourself. equal parts cinnamon, cloves, nutmeg, and black pepper, all ground",4 tablespoons allspice
almond,1 pound hazelnut,"The category is: Nuts. Almonds have a crunchy texture and a rich, delicate flavor that's especially good in desserts, like candy, ice cream, tortes, and coffee cake. To intensify their flavor, toast them on a baking pan in a 325° degree oven, stirring occasionally, until they're golden (about 15 minutes for whole almonds).  You can buy almonds shelled or unshelled, blanched, sliced, slivered, ground, or chopped. for baking",1 pound almond
almond,1 pound Brazil nut,"The category is: Nuts. Almonds have a crunchy texture and a rich, delicate flavor that's especially good in desserts, like candy, ice cream, tortes, and coffee cake. To intensify their flavor, toast them on a baking pan in a 325° degree oven, stirring occasionally, until they're golden (about 15 minutes for whole almonds).  You can buy almonds shelled or unshelled, blanched, sliced, slivered, ground, or chopped.",1 pound almond
almond,1 pound cashew,"The category is: Nuts. Almonds have a crunchy texture and a rich, delicate flavor that's especially good in desserts, like candy, ice cream, tortes, and coffee cake. To intensify their flavor, toast them on a baking pan in a 325° degree oven, stirring occasionally, until they're golden (about 15 minutes for whole almonds).  You can buy almonds shelled or unshelled, blanched, sliced, slivered, ground, or chopped.",1 pound almond
almond,1 pound pistachio nut,"The category is: Nuts. Almonds have a crunchy texture and a rich, delicate flavor that's especially good in desserts, like candy, ice cream, tortes, and coffee cake. To intensify their flavor, toast them on a baking pan in a 325° degree oven, stirring occasionally, until they're golden (about 15 minutes for whole almonds).  You can buy almonds shelled or unshelled, blanched, sliced, slivered, ground, or chopped. unsalted",1 pound almond
almond milk,"1 teaspoon vanilla extract + 2 cups water while blending + 3 tablespoons honey or maple syrup + 1 cup almonds, blanched grind into a fine meal","The category is: Non-dairy Milks & Creams. Look for this in aseptic containers. Shake well before using! Put 1 cup blanched almonds into a blender and grind into a fine meal. Add 3 tablespoons honey or maple syrup and 1 teaspoon vanilla, then gradually add 2 cups water while blender is running. Strain out and discard almond pulp.  See also the recipe for Almond Milk posted on www.vegweb.com.",3 cups almond milk
almond milk,1 cup rice milk,The category is: Non-dairy Milks & Creams. Look for this in aseptic containers. Shake well before using!,1 cup almond milk
almond oil,1 cup hazelnut oil,The category is: Oils & Cooking Sprays. Nut oils are best used in cold dishes; heat destroys their delicate flavor.,1 cup almond oil
almond oil,1 cup walnut oil,The category is: Oils & Cooking Sprays. Nut oils are best used in cold dishes; heat destroys their delicate flavor.,1 cup almond oil
almond oil,1 cup vegetable oil,The category is: Oils & Cooking Sprays. Nut oils are best used in cold dishes; heat destroys their delicate flavor.,1 cup almond oil
almond oil,1 cup olive oil extre virgin,The category is: Oils & Cooking Sprays. Nut oils are best used in cold dishes; heat destroys their delicate flavor.,1 cup almond oil
almond paste,1 pound marzipan,"The category is: Nut & Seed Pastes. This is a paste made with finely ground blanched almonds, sugar, glycerin, and sometimes almond extract.   Bakers use it to make cakes and cookies.   Bitter almond paste is flavored with oil of bitter almonds, and is worth seeking out if you plan to make amaretti.  Look for tubes or cans of it among the baking supplies at your supermarket. sweeter and more pliable than almond paste",1 pound almond paste
almond powder,1 cup corn starch,The category is: Starch thickeners.,1 cup almond powder
apricot,1 pound aprium,"The category is: Stone Fruit. Like other stone fruit, apricots are sweetest--and most prone to bruising--when they're allowed to ripen on the tree.  But unless you can pick your own, you'll probably have to make do with the slightly underripe, more durable apricots sold in markets.  Allow them to soften at room temperature for a few days before eating them.  They're best in the summer.",1 pound apricot
apricot,1 pound pluot,"The category is: Stone Fruit. Like other stone fruit, apricots are sweetest--and most prone to bruising--when they're allowed to ripen on the tree.  But unless you can pick your own, you'll probably have to make do with the slightly underripe, more durable apricots sold in markets.  Allow them to soften at room temperature for a few days before eating them.  They're best in the summer.",1 pound apricot
apricot,1 pound peach,"The category is: Stone Fruit. Like other stone fruit, apricots are sweetest--and most prone to bruising--when they're allowed to ripen on the tree.  But unless you can pick your own, you'll probably have to make do with the slightly underripe, more durable apricots sold in markets.  Allow them to soften at room temperature for a few days before eating them.  They're best in the summer.",1 pound apricot
apricot,1 pound nectarine,"The category is: Stone Fruit. Like other stone fruit, apricots are sweetest--and most prone to bruising--when they're allowed to ripen on the tree.  But unless you can pick your own, you'll probably have to make do with the slightly underripe, more durable apricots sold in markets.  Allow them to soften at room temperature for a few days before eating them.  They're best in the summer.",1 pound apricot
artichoke,1 pound Jerusalem artichoke,"The category is: Inflorescent Vegetables. Artichokes are the unopened flowers and stems of a kind of thistle. You cook them, then peel off and eat the bases of the thick green petals (called leaves). At the center is the heart, the choicest portion of the artichoke, covered by the choke, a hairy pad that should be peeled off and discarded. Their peak season is early summer. crisper; consider blanching or roasting first",1 pound artichoke
artichoke,1 pound salsify,"The category is: Inflorescent Vegetables. Artichokes are the unopened flowers and stems of a kind of thistle. You cook them, then peel off and eat the bases of the thick green petals (called leaves). At the center is the heart, the choicest portion of the artichoke, covered by the choke, a hairy pad that should be peeled off and discarded. Their peak season is early summer.",1 pound artichoke
artichoke,1 pound burdock,"The category is: Inflorescent Vegetables. Artichokes are the unopened flowers and stems of a kind of thistle. You cook them, then peel off and eat the bases of the thick green petals (called leaves). At the center is the heart, the choicest portion of the artichoke, covered by the choke, a hairy pad that should be peeled off and discarded. Their peak season is early summer.",1 pound artichoke
artichoke,1 pound hearts of palm,"The category is: Inflorescent Vegetables. Artichokes are the unopened flowers and stems of a kind of thistle. You cook them, then peel off and eat the bases of the thick green petals (called leaves). At the center is the heart, the choicest portion of the artichoke, covered by the choke, a hairy pad that should be peeled off and discarded. Their peak season is early summer.",1 pound artichoke
artichoke,1 pound banana blossom,"The category is: Inflorescent Vegetables. Artichokes are the unopened flowers and stems of a kind of thistle. You cook them, then peel off and eat the bases of the thick green petals (called leaves). At the center is the heart, the choicest portion of the artichoke, covered by the choke, a hairy pad that should be peeled off and discarded. Their peak season is early summer.",1 pound artichoke
artichoke hearts,1 pound avocado,The category is: Inflorescent Vegetables.,1 pound artichoke hearts
artichoke hearts,1 pound burdock,The category is: Inflorescent Vegetables.,1 pound artichoke hearts
artichoke hearts,1 pound cardoon,The category is: Inflorescent Vegetables.,1 pound artichoke hearts
artichoke hearts,1 pound hearts of palm,The category is: Inflorescent Vegetables.,1 pound artichoke hearts
artichoke hearts,1 pound Jerusalem artichoke,The category is: Inflorescent Vegetables.,1 pound artichoke hearts
banana,1 each plantain,"The category is: Common Tropical Fruit. Most of the bananas you and I have eaten in our lifetimes are the yellow Cavendish bananas. The burro banana = chunkey = chunky is shorter than the Cavendish, and has an interesting lemony flavor. The manzano banana is smaller yet and a bit drier, but it fits nicely into lunch boxes. The red banana has a purple peel and is best used for baking. The plantain is larger than other banana varieties, and is usually fried, baked, or mashed before eating. Yellow bananas with a few dark spots are ripe and ready to eat, while green ones will ripen at room temperature in just a few days. Refrigerating ripe bananas will keep them from getting softy and mushy, though the peels will darken. for baking, mashing, and frying",1 each banana
banana,1 each mango,"The category is: Common Tropical Fruit. Most of the bananas you and I have eaten in our lifetimes are the yellow Cavendish bananas. The burro banana = chunkey = chunky is shorter than the Cavendish, and has an interesting lemony flavor. The manzano banana is smaller yet and a bit drier, but it fits nicely into lunch boxes. The red banana has a purple peel and is best used for baking. The plantain is larger than other banana varieties, and is usually fried, baked, or mashed before eating. Yellow bananas with a few dark spots are ripe and ready to eat, while green ones will ripen at room temperature in just a few days. Refrigerating ripe bananas will keep them from getting softy and mushy, though the peels will darken. different flavor",1 each banana
barley flour,1 cup wheat flour,"The category is: Nonwheat Flours. other nonwheat flour  Notes:  To see how to substitute other flours for wheat flours when making yeast breads, see the listing under all-purpose flour.",1 cup barley flour
barley flour,1 cup rice flour,"The category is: Nonwheat Flours. other nonwheat flour  Notes:  To see how to substitute other flours for wheat flours when making yeast breads, see the listing under all-purpose flour.",1 cup barley flour
barley flour,1 cup all-purpose flour,"The category is: Nonwheat Flours. other nonwheat flour  Notes:  To see how to substitute other flours for wheat flours when making yeast breads, see the listing under all-purpose flour.",1 cup barley flour
basil,1 pound oregano,"The category is: European Herbs. Basil is widely used in Mediterranean countries, where it flavors everything from pasta sauces to pesto, and in Southeast Asia, where it's often stir-fried with other ingredients.  There are numerous varieties, ranging from the more pungent Asian basils to the sweeter and milder European varieties.   Use dried basil only in a pinch--it's not nearly as flavorful as fresh.",1 pound basil
basil,1 pound chervil,"The category is: European Herbs. Basil is widely used in Mediterranean countries, where it flavors everything from pasta sauces to pesto, and in Southeast Asia, where it's often stir-fried with other ingredients.  There are numerous varieties, ranging from the more pungent Asian basils to the sweeter and milder European varieties.   Use dried basil only in a pinch--it's not nearly as flavorful as fresh.",1 pound basil
basil,1 pound tarragon,"The category is: European Herbs. Basil is widely used in Mediterranean countries, where it flavors everything from pasta sauces to pesto, and in Southeast Asia, where it's often stir-fried with other ingredients.  There are numerous varieties, ranging from the more pungent Asian basils to the sweeter and milder European varieties.   Use dried basil only in a pinch--it's not nearly as flavorful as fresh.",1 pound basil
basil,1 pound summer savory,"The category is: European Herbs. Basil is widely used in Mediterranean countries, where it flavors everything from pasta sauces to pesto, and in Southeast Asia, where it's often stir-fried with other ingredients.  There are numerous varieties, ranging from the more pungent Asian basils to the sweeter and milder European varieties.   Use dried basil only in a pinch--it's not nearly as flavorful as fresh.",1 pound basil
basil,0.5 pounds celery leaves + 0.5 pounds parsley,"The category is: European Herbs. Basil is widely used in Mediterranean countries, where it flavors everything from pasta sauces to pesto, and in Southeast Asia, where it's often stir-fried with other ingredients.  There are numerous varieties, ranging from the more pungent Asian basils to the sweeter and milder European varieties.   Use dried basil only in a pinch--it's not nearly as flavorful as fresh.",1 pound basil
basil,1 pound cilantro,"The category is: European Herbs. Basil is widely used in Mediterranean countries, where it flavors everything from pasta sauces to pesto, and in Southeast Asia, where it's often stir-fried with other ingredients.  There are numerous varieties, ranging from the more pungent Asian basils to the sweeter and milder European varieties.   Use dried basil only in a pinch--it's not nearly as flavorful as fresh. This works well in pesto.",1 pound basil
basil,1 pound mint,"The category is: European Herbs. Basil is widely used in Mediterranean countries, where it flavors everything from pasta sauces to pesto, and in Southeast Asia, where it's often stir-fried with other ingredients.  There are numerous varieties, ranging from the more pungent Asian basils to the sweeter and milder European varieties.   Use dried basil only in a pinch--it's not nearly as flavorful as fresh. especially in Thai cuisine",1 pound basil
basil,1 pound Italian seasoning,"The category is: European Herbs. Basil is widely used in Mediterranean countries, where it flavors everything from pasta sauces to pesto, and in Southeast Asia, where it's often stir-fried with other ingredients.  There are numerous varieties, ranging from the more pungent Asian basils to the sweeter and milder European varieties.   Use dried basil only in a pinch--it's not nearly as flavorful as fresh.",1 pound basil
basil,1 pound dill leaf,"The category is: European Herbs. Basil is widely used in Mediterranean countries, where it flavors everything from pasta sauces to pesto, and in Southeast Asia, where it's often stir-fried with other ingredients.  There are numerous varieties, ranging from the more pungent Asian basils to the sweeter and milder European varieties.   Use dried basil only in a pinch--it's not nearly as flavorful as fresh.",1 pound basil
basil,1 pound thyme,"The category is: European Herbs. Basil is widely used in Mediterranean countries, where it flavors everything from pasta sauces to pesto, and in Southeast Asia, where it's often stir-fried with other ingredients.  There are numerous varieties, ranging from the more pungent Asian basils to the sweeter and milder European varieties.   Use dried basil only in a pinch--it's not nearly as flavorful as fresh.",1 pound basil
basmati rice,1 cup popcorn rice,"The category is: Rice. This aromatic, long-grain rice is grown in the foothills of the Himalayas and is especially popular in India.  The cooked grains are dry and fluffy, so they make a nice bed for curries and sauces. Basmati is available as either white or brown rice.  Brown basmati has more fiber and a stronger flavor, but it takes twice as long to cook.   Aged basmati rice is better, but more expensive. slightly milder than basmati",1 cup basmati rice
basmati rice,1 cup jasmine rice,"The category is: Rice. This aromatic, long-grain rice is grown in the foothills of the Himalayas and is especially popular in India.  The cooked grains are dry and fluffy, so they make a nice bed for curries and sauces. Basmati is available as either white or brown rice.  Brown basmati has more fiber and a stronger flavor, but it takes twice as long to cook.   Aged basmati rice is better, but more expensive. has shorter grain than basmati, somewhat stickier; cooks slightly faster",1 cup basmati rice
basmati rice,1 cup long-grain rice,"The category is: Rice. This aromatic, long-grain rice is grown in the foothills of the Himalayas and is especially popular in India.  The cooked grains are dry and fluffy, so they make a nice bed for curries and sauces. Basmati is available as either white or brown rice.  Brown basmati has more fiber and a stronger flavor, but it takes twice as long to cook.   Aged basmati rice is better, but more expensive. less expensive",1 cup basmati rice
basmati rice,1 cup wild pecan rice,"The category is: Rice. This aromatic, long-grain rice is grown in the foothills of the Himalayas and is especially popular in India.  The cooked grains are dry and fluffy, so they make a nice bed for curries and sauces. Basmati is available as either white or brown rice.  Brown basmati has more fiber and a stronger flavor, but it takes twice as long to cook.   Aged basmati rice is better, but more expensive.",1 cup basmati rice
bell pepper,1 pound Holland bell pepper,"The category is: Sweet Peppers. Red and yellow peppers are riper, more flavorful, and pricier than the more common green ones. You can occasionally find bell peppers in other colors as well, like brown, white, pink, orange, and purple.Bell peppers are the perfect size for hollowing out and stuffing, or you can slice them into strips for snacking or dipping. thicker walls",1 pound bell pepper
